Appellation,Domaine,Cuvée,Année
2463,Sol Payré,Imo Pectore,2017
2680,Spelty,Clos de Neuilly,2009
2960,Stéphane Ogier ,La combe de Malleval,2014
2960,Stéphane Ogier ,La combe de Malleval,2015
2974,Stéphane Ogier , Le temps est venu,2014
2084,Sylvain Ponsot-Vouvry,,2014
210,Sylvie Spielmann , Kanzlerberg,2011
217,Sylvie Spielmann , Kanzlerberg,2011
2325,Tixier,Blanc de blanc,2020
2326,Tixier,Suprême,2016
2509,Toques et Clochers,,2010
2748,Tour Saint Martin,Fumet,2019
2748,Tour Saint Martin,Morogues,2020
2748,Tour Saint Martin,Morogues,2016
2325,Tsarine,,2010
2782,Vacheron , Guigne Chèvres,2013
2782,Vacheron , Les Romains,2013
2962,Vidal Fleury,,2009
2962,Vidal Fleury , Brune et Blonde,2009
2782,Vincent Pinard , Florès,2013
2782,Vincent Pinard , Harmonie,2013
2782,Vincent Pinard , Harmonie,2014
804,Vissoux , Pierreux,2015
3152,Vullien,Jacquère,2020
3157,Vullien,,2020
2954,Xavier Vignon ,Cuvée anonyme,2009
3025,Yann Chave,,2016
2668,Yannick Amirault ,La coudraye,2015
2668,Yannick Amirault ,La petite cave,2014
2668,Yannick Amirault ,Le grand clos,2011
2668,Yannick Amirault ,Les quartiers,2014
3075,Yves Cuilleron,Roussane,2018
3053,Yves Cuilleron , L’Amarybelle,2014
2974,Yves Cuilleron , Les vignes d’a côté,2015
2890,Yves Leccia,Croce,2016
