Cuvee_ID,Provenance,statut,Cave_id,Ajouté_le,Emplacement,Prix
1,Achat Fervier vente à la propriété.com,bue,2,06/02/2020,Clayette 1 & 6,"19,00"
1,Achat Fervier vente à la propriété.com,bue,2,06/02/2020,Clayette 1 & 6,"19,00"
1,Achat Fervier vente à la propriété.com,bue,2,06/02/2020,Clayette 1 & 6,"19,00"
1,Achat Fervier vente à la propriété.com,bue,2,06/02/2020,Clayette 1 & 6,"19,00"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayettes 1 & 7,"16,65"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
5,Achat Guillaume Mars 18,bue,2,25/04/2018,Clayettes 1 & 7,"17,00"
8,Achat Vente privée Nov 2015,bue,2,15/02/2016,,"33,00"
9,Achat Vente privée Nov 2015,bue,2,31/12/2015,,"39,00"
10,Achat Vente privée Nov 2015,bue,2,31/12/2015,,"23,00"
11,SVI Nov 2016,bue,2,25/11/2016,,"25,00"
11,SVI Nov 2016,bue,2,25/11/2016,,"25,00"
11,SVI Nov 2016,bue,2,25/11/2016,,"25,00"
13,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 6,"12,00"
13,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 6,"12,00"
14,SVI Dec 21,bue,2,02/12/2021,,"12,70"
14,SVI Dec 21,bue,2,02/12/2021,,"12,70"
17,Cadeau Julien,bue,2,09/07/2011,Clayette 4,"0,00"
19,Cadeau JM Hourlier Noël 2014,bue,2,25/12/2014,,"0,00"
22,Achat WIB Mars 2016,bue,2,18/03/2016,,"10,00"
22,Achat WIB Mars 2016,bue,2,18/03/2016,,"10,00"
24,SVI Dec 21,bue,2,02/12/2021,,"10,60"
26,Achats Vignerons Indep Avril 2015,bue,2,12/05/2015,Clayette 1,"13,00"
28,Achats Vignerons Indep Avril 2015,bue,2,12/05/2015,Clayette 1,"12,00"
29,Cadeau JM Hourlier Noël 2014,bue,2,25/12/2014,,"0,00"
34,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 4,"8,90"
34,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 4,"8,90"
35,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"7,70"
35,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"7,70"
35,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"7,70"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
36,SVI Mars 2017,bue,2,28/04/2017,Clayette 1,"9,00"
39,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"24,00"
39,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"24,00"
40,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"12,50"
42,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"22,00"
42,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"22,00"
44,Achat Avril 14,bue,2,16/04/2014,,"13,00"
45,Cadeau Clouté,bue,2,22/10/2011,Clayette 2,"0,00"
47,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1,"11,00"
47,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1,"11,00"
47,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1,"11,00"
48,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 4 & 5,"13,00"
49,SVI Mars 2017,bue,2,28/04/2017,,"29,00"
50,SVI Mars 2017,bue,2,28/04/2017,,"0,00"
54,Achat 1j1v Juin 2015 (2),bue,2,04/07/2015,Clayette 4,"27,00"
55,Achat 1j1v Juin 2015 (2),bue,2,04/07/2015,Clayette 2,"17,50"
56,Achat 1j1v Juin 2015 (2),bue,2,04/07/2015,Clayette 1,"21,00"
56,Achat 1j1v Juin 2015 (2),bue,2,04/07/2015,Clayette 1,"21,00"
60,Cadeau Papa,bue,2,20/03/2016,,"0,00"
61,Noël Hourlier 2012,bue,2,24/12/2012,Clayette 5,"0,00"
62,Soirée Julie,bue,2,20/02/2016,Clayette 5,"0,00"
63,Cadeau de Noel Nadine 2018,bue,2,07/01/2019,Clayette 1,"0,00"
64,Cadeau Papa,bue,2,24/12/2012,Clayette 4,"0,00"
67,Achat lot18.Fr Mars 2014,bue,2,18/03/2014,,"28,00"
69,Achat groupé collegues SG Sept 18,bue,2,08/09/2018,Clayette 1,"16,50"
69,Achat groupé collegues SG Sept 18,bue,2,08/09/2018,Clayette 1,"16,50"
69,Achat groupé collegues SG Sept 18,bue,2,08/09/2018,Clayette 1,"16,50"
71,Achat 1j1v Jan 18,bue,2,24/04/2018,,"25,00"
73,FAV Vente Privée 2018,bue,2,10/09/2018,Clayette 1,"29,00"
73,FAV Vente Privée 2018,bue,2,10/09/2018,Clayette 1,"29,00"
78,Vente Privé Aout 2016,bue,2,16/09/2016,,"32,00"
85,Cadeau Nadine Anniversaire 2018,bue,2,28/07/2018,Clayette 4,"0,00"
86,Cadeau Nadine Anniversaire 2018,bue,2,28/07/2018,Clayette 1,"0,00"
87,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1,"7,80"
88,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 1,"12,50"
90,Achat WIB Nov 14,bue,2,26/11/2014,Clayette 1,"10,00"
91,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"13,50"
92,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 5,"16,00"
92,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 5,"16,00"
94,Achat Vente Privée Septembre,bue,2,14/11/2015,Clayettes 5 & 6,"18,00"
94,Achat Vente Privée Septembre,bue,2,14/11/2015,Clayettes 5 & 6,"18,00"
95,Achat Vente Privée Mars,bue,2,30/04/2016,,"18,00"
95,Achat Vente Privée Mars,bue,2,30/04/2016,,"18,00"
96,SVI Nov 2019,bue,2,29/11/2019,,"21,00"
96,SVI Nov 2019,bue,2,29/11/2019,,"21,00"
96,SVI Nov 2019,bue,2,29/11/2019,,"21,00"
97,Cadeau Marraine Anniversaire,bue,2,10/08/2016,,"0,00"
98,Achat 1j1v Avril 2016,bue,2,11/05/2016,,"23,00"
99,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 1,"17,00"
101,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"14,50"
101,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"14,50"
101,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"14,50"
102,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"20,00"
102,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"20,00"
103,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"9,00"
103,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"9,00"
103,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"9,00"
105,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 5,"10,00"
106,Achat lot18.Fr Dec,bue,2,12/12/2013,Clayette 2,"20,00"
106,Achat lot18.Fr Dec,bue,2,12/12/2013,Clayette 2,"20,00"
107,Foire aux vins 2014 (monop),bue,2,25/09/2014,Clayette 2,"7,50"
107,Foire aux vins 2014 (monop),bue,2,25/09/2014,Clayette 2,"7,50"
107,Foire aux vins 2014 (monop),bue,2,25/09/2014,Clayette 2,"7,50"
108,Foire aux vins monoprix 2018,bue,2,18/09/2018,Clayette 3,"8,70"
108,Foire aux vins monoprix 2018,bue,2,18/09/2018,Clayette 3,"8,70"
109,Achat WIB Mars 2016,bue,2,18/03/2016,,"11,00"
109,Achat WIB Mars 2016,bue,2,18/03/2016,,"11,00"
112,Achat FAV Monop 2015,bue,2,27/09/2015,,"9,30"
112,Achat FAV Monop 2015,bue,2,27/09/2015,,"9,30"
113,FAV Monop 2016,bue,2,10/09/2016,Clayette 6,"10,00"
119,Foire aux vins wineandco 2014,bue,2,17/09/2014,,"30,00"
120,Achat 1jour1Vin Juillet 2015,bue,2,27/09/2015,,"0,00"
120,Achat 1jour1Vin Juillet 2015,bue,2,27/09/2015,,"0,00"
121,Achat voyage palancade 2018,bue,2,21/07/2018,Clayette 1,"18,90"
121,Achat voyage palancade 2018,bue,2,21/07/2018,Clayette 1,"18,90"
124,Foire aux vins wineandco 2014,bue,2,17/09/2014,,"34,00"
125,Achat 1j1v Mars 2016,bue,2,08/04/2016,"Clayettes 2,4,5","12,00"
125,Achat 1j1v Mars 2016,bue,2,08/04/2016,"Clayettes 2,4,5","12,00"
126,Vente Privé Aout 2016,bue,2,16/09/2016,,"42,00"
126,Vente Privé Aout 2016,bue,2,16/09/2016,,"42,00"
127,Cadeau Julien,bue,2,N/A,Clayette 4,"0,00"
129,Achat Lot 18.fr,bue,2,22/10/2013,Clayette 3 & 7,"9,20"
130,Cadeau nadine Hourlier Juin 18,bue,2,11/06/2018,Clayette 2,"0,00"
134,SVI Mars 2018,bue,2,10/04/2018,,"12,50"
135,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 6,"23,00"
135,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 6,"23,00"
135,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 6,"23,00"
135,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 6,"23,00"
136,Achat Salon des vignerons Nov 14,bue,2,30/11/2014,Clayette 5,"26,00"
137,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 4 & 6,"15,00"
137,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 4 & 6,"15,00"
141,Noël Hourlier 2012,bue,2,24/12/2012,,"0,00"
142,Achat Saumur Fevrier 18,bue,2,01/03/2018,,"15,00"
145,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 3,"13,00"
146,Achat Foire aux vins 2012,bue,2,01/11/2012,Clayette 1,"23,00"
147,Achat wineandco 2014,bue,2,03/02/2014,Clayette 7,"24,00"
147,Achat wineandco 2014,bue,2,03/02/2014,Clayette 7,"24,00"
147,Achat wineandco 2014,bue,2,03/02/2014,Clayette 7,"24,00"
149,Cadeau Noël Hourlier 2015,bue,2,26/12/2015,,"0,00"
151,Achat 1j1v Mai 2016,bue,2,01/06/2016,,"17,00"
151,Achat 1j1v Mai 2016,bue,2,01/06/2016,,"17,00"
152,Achat Soirée Mimile 2020,bue,2,14/07/2020,,"12,00"
154,Achat Soirée Mimile 2020,bue,2,14/07/2020,,"12,00"
155,Achat WineandCO Dec 2014,bue,2,04/12/2014,,"25,00"
155,Achat WineandCO Dec 2014,bue,2,04/12/2014,,"25,00"
160,SVI Dec 21,bue,2,02/12/2021,,"13,00"
161,Achat 1j1v Dec 2015,bue,2,27/02/2016,Clayette 2,"18,00"
162,Achat 1j1v Dec 2015,bue,2,27/02/2016,Clayette 1,"19,00"
164,Achat 1j1v Dec 2015,bue,2,18/12/2015,,"34,00"
165,Achat 1j1v Dec 2015,bue,2,18/12/2015,Clayette 2,"35,00"
171,SVI Mars 2017,bue,2,28/04/2017,,"28,00"
171,SVI Mars 2017,bue,2,28/04/2017,,"28,00"
171,SVI Mars 2017,bue,2,28/04/2017,,"28,00"
172,SVI Mars 2018,bue,2,10/04/2018,,"10,00"
177,SVI Nov 2019,bue,2,29/11/2019,,"14,00"
179,Achat UnP St Emilion Avril 14,bue,2,16/04/2014,Clayette 3,"15,00"
179,Achat UnP St Emilion Avril 14,bue,2,16/04/2014,Clayette 3,"15,00"
182,Cadeau papa Juillet 21,bue,2,25/07/2021,Clayette 3,"12,00"
182,Cadeau papa Juillet 21,bue,2,25/07/2021,Clayette 3,"12,00"
184,Cadeau JM Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
187,Cadeau Hourlier Anniversaire,bue,2,16/07/2012,Clayette 6,"0,00"
188,Achat EVG Vincent,bue,2,28/05/2016,,"12,20"
188,Achat EVG Vincent,bue,2,28/05/2016,,"12,20"
189,Achat EVG Vincent,bue,2,28/05/2016,,"9,10"
189,Achat EVG Vincent,bue,2,28/05/2016,,"9,10"
189,Achat EVG Vincent,bue,2,28/05/2016,,"9,10"
189,Achat EVG Vincent,bue,2,28/05/2016,,"9,10"
190,FAV Vente Privée 2017,bue,2,,,"9,50"
190,FAV Vente Privée 2017,bue,2,,,"9,50"
190,FAV Vente Privée 2017,bue,2,,,"9,50"
191,fav Vente Privée 2016,bue,2,15/10/2016,Clayette 6,"7,00"
191,fav Vente Privée 2016,bue,2,15/10/2016,Clayette 6,"7,00"
192,FAV Vente Privée 2017,bue,2,,,"30,00"
193,Achat 1j1v 24 Fevrier 2016,bue,2,,Clayette 2,"10,50"
196,Achat Papa Aout 2018,bue,2,,,"0,00"
199,Achat lot18.fr Nov,bue,2,05/11/2014,Clayette 6,"29,00"
202,Achat WIB Nov 14,bue,2,26/11/2014,Clayettes 1 & 5,"9,00"
203,Noël Hourlier 2011,bue,2,28/04/2012,Clayette 6,"0,00"
203,Noël Hourlier 2011,bue,2,28/04/2012,Clayette 6,"0,00"
204,Cadeau GP Hourlier Noël 2014,bue,2,25/12/2014,,"0,00"
205,Achat 1j1v Nov 2016,bue,2,17/12/2016,,"18,00"
206,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 7,"20,00"
207,Achat 1j1v Mai 2016,bue,2,01/06/2016,,"11,00"
208,Cadeau de Noel Nadine 2018,bue,2,07/01/2019,Clayette 1,"0,00"
209,Achat Guillaume Aout,bue,2,15/10/2016,Clayette 1,"22,00"
210,Achat WIB Nov 14,bue,2,26/11/2014,Clayettes 1 & 5,"12,00"
210,Achat WIB Nov 14,bue,2,26/11/2014,Clayettes 1 & 5,"12,00"
210,Achat WIB Nov 14,bue,2,26/11/2014,Clayettes 1 & 5,"12,00"
211,Achat WIB Mai 2015,bue,2,12/06/2015,Clayette 4,"11,50"
211,Achat WIB Mai 2015,bue,2,12/06/2015,Clayette 4,"11,50"
211,Achat WIB Mai 2015,bue,2,12/06/2015,Clayette 4,"11,50"
212,Cadeau JM Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
