Appellation,Domaine,Cuvée,Année,date_deg_min
2680,Olga Raffault,Les Picasses,2006,2022
2680,Olga Raffault,Les Picasses,2009,2022
2680,Olga Raffault,La Singulière,2010,2022
2680,Olga Raffault,Les Peuilles,2009,2022
2680,Olga Raffault,Les Picasses,1985,2022
2680,Olga Raffault,Les Picasses,2010,2022
2680,Olga Raffault,Les Picasses,2015,2022
810,P. Ferraud,,2018,2022
2713,Patrice Colin,Vieilles Vignes,2013,2022
1080,Patrick hudelot,Les plançons,2010,2014
1659,Paul Thevenin,,2009,2022
2325,Philiponnat,,2017,2022
2680,Philippe Alliet,Coteaux de Noiré,2013,2019
2680,Philippe Alliet,L’huisserie,2013,2019
1658,Philippe Pacalet,,2016,
2680,Pichard,,2007,2022
2619,Pierre et Soleil,La Galade,2013,2022
2960,Pierre Jean Vila,Jardins Suspendus,2017,2020
2325,Pierre Moncuit,Delos,2018,2022
2325,Pierre Moncuit,Delos,2020,
2790,Plessis Duval,,2011,2013
949,Prunier,,2013,2018
1179,Prunier,,2013,2018
3027,Raspail (Chateau Saint Jean),,2012,2022
2953,Raymond Usseglio,,2016,2018
2954,Raymond Usseglio,Cuvée Impériale,2015,2020
838,Reignac,Grand vin de Reignac,2012,2018
2784,René Carroi,,2010,2022
2790,Rene Noël Legrand,La chaintrée,2005,
2790,Rene Noël Legrand,La chaintrée,2006,2022
2790,Rene Noël Legrand,La chaintrée,2009,2022
2790,Rene Noël Legrand,La chaintrée,2010,2022
2790,Rene Noël Legrand,Les Rogelins,2009,2022
2790,Rene Noël Legrand,Les Rogelins,2010,2022
2846,Rochebuffère,Caborne,2014,2022
2846,Rochebuffère,Negrette,2017,2019
2846,Rochebuffère,Pinot,2017,2019
2846,Rochebuffère,,2017,2019
2846,Rochebuffère,,2018,2020
2846,Rochebuffère,,2017,2019
1967,Romanin,,2010,2014
1179,Roux,,2006,2016
2767,Saget,,2013,2022
3065,Saint Jean du Barroux,L’argile,2010,2022
2767,Serge Dagueneau & filles,Tradition,2020,2023
2767,Serge Dagueneau & filles,Odyssée,2020,2023
1826,Sigaut,,2010,2022
2463,Sol Payré,Vertigo,2016,2022
2463,Sol Payré,Imo Pectore,2017,2020
2680,Spelty,Clos de Neuilly,2009,2022
2960,Stéphane Ogier,La combe de Malleval,2014,2022
2960,Stéphane Ogier,La combe de Malleval,2015,2022
