Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
63,Cadeau de Noel 2018,bue,4,07/01/2019,Clayette 1,0
64,Cadeau Papa,bue,4,24/12/2012,Clayette 4,0
67,Achat lot18.Fr Mars 2014,bue,4,18/03/2014,Clayette 9,28
69,Achat groupé collegues Sept 18,bue,4,08/09/2018,Clayette 1,"16,50€"
69,Achat groupé collegues Sept 18,bue,4,08/09/2018,Clayette 1,"16,50€"
69,Achat groupé collegues Sept 18,bue,4,08/09/2018,Clayette 1,"16,50€"
71,Achat 1j1v Jan 18,bue,4,24/04/2018,Clayette 9,25
73,FAV Vente Privée 2018,bue,4,10/09/2018,Clayette 1,"29,00€"
73,FAV Vente Privée 2018,bue,4,10/09/2018,Clayette 1,"29,00€"
78,Vente Privé Aout 2016,bue,4,16/09/2016,Clayette 9,"32,00€"
85,Cadeau  Anniversaire 2018,bue,4,28/07/2018,Clayette 4,0
86,Cadeau  Anniversaire 2018,bue,4,28/07/2018,Clayette 1,0
87,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1,"7,8"
88,1jour1vin Janvier 2015,bue,4,02/02/2015,Clayette 1,"12,5"
90,Achat WIB Nov 14,bue,4,26/11/2014,Clayette 1,10
91,Achat Saumur Fevrier 18,bue,4,01/03/2018,Clayette 9,"13,50€"
92,Achat 1j1v Nov 2016,bue,4,17/12/2016,Clayette 5,"16,00€"
92,Achat 1j1v Nov 2016,bue,4,17/12/2016,Clayette 5,"16,00€"
94,Achat Vente Privée Septembre,bue,4,14/11/2015,Clayettes 5 & 6,18
94,Achat Vente Privée Septembre,bue,4,14/11/2015,Clayettes 5 & 6,18
95,Achat Vente Privée Mars,bue,4,30/04/2016,Clayette 9,"18,00€"
95,Achat Vente Privée Mars,bue,4,30/04/2016,Clayette 9,"18,00€"
96,SVI Nov 2019,bue,4,29/11/2019,Clayette 9,"21,00€"
96,SVI Nov 2019,bue,4,29/11/2019,Clayette 9,"21,00€"
96,SVI Nov 2019,bue,4,29/11/2019,Clayette 9,"21,00€"
96,SVI Nov 2019,bue,4,29/11/2019,Clayette 9,"21,00€"
97,Cadeau Anniversaire,bue,4,10/08/2016,Clayette 9,"0,00€"
98,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,"23,00€"
99,1jour1vin Janvier 2015,bue,4,02/02/2015,Clayette 1,17
101,Route des Vins,bue,4,01/03/2018,Clayette 9,"14,50€"
101,Route des Vins,bue,4,01/03/2018,Clayette 9,"14,50€"
101,Route des Vins,bue,4,01/03/2018,Clayette 9,"14,50€"
102,Route des Vins,bue,4,01/03/2018,Clayette 9,"20,00€"
102,Route des Vins,bue,4,01/03/2018,Clayette 9,"20,00€"
103,Route des Vins,bue,4,01/03/2018,Clayette 9,9
