Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
463,fav Vente Privée 2016,bue,2,01/01/2012,Clayettes 3 & 4,"20,00€"
463,fav Vente Privée 2016,bue,2,01/01/2012,Clayettes 3 & 4,"20,00€"
463,fav Vente Privée 2016,bue,2,01/01/2012,Clayettes 3 & 4,"20,00€"
465,SVI Dec 21,bue,2,02/12/2021,,"26,80€"
471,WE Sancerre Mai 2015,bue,2,08/05/2015,Chez Hourlier,"23,00€"
471,WE Sancerre Mai 2015,bue,2,08/05/2015,Chez Hourlier,"23,00€"
471,WE Sancerre Mai 2015,bue,2,08/05/2015,Chez Hourlier,"23,00€"
473,Noël Hourlier 2012,bue,2,24/12/2012,Clayette 2,0
474,Cadeau JM Hourlier Juillet 2015,bue,2,20/08/2015,0,0
475,Achat 1jour1Vin Juillet 2015,bue,2,27/09/2015,Clayette 1,15
475,Achat 1jour1Vin Juillet 2015,bue,2,27/09/2015,Clayette 1,15
475,Achat 1jour1Vin Juillet 2015,bue,2,27/09/2015,Clayette 1,15
477,Achat Guillaume 1j1v,bue,2,25/06/2016,Clayette 1,"23,00€"
478,Achat 1j1v Juin 2016,bue,2,11/07/2016,Clayette 7,12
480,SVI Dec 21,bue,2,02/12/2021,,"10,50€"
482,FAV Vente Privée 2018,bue,2,10/09/2018,Clayette 5,"24,00€"
482,FAV Vente Privée 2018,bue,2,10/09/2018,Clayette 5,"24,00€"
483,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"10,00€"
483,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"10,00€"
483,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"10,00€"
483,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"10,00€"
484,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"20,00€"
484,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"20,00€"
484,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"20,00€"
484,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"20,00€"
485,Achat lot18.fr Nov,bue,2,05/11/2014,Clayette 4,13
486,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"14,00€"
486,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"14,00€"
486,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"14,00€"
486,Achat 1j1v Mai 2016,bue,2,01/06/2016,0,"14,00€"
487,Achat Soirée Mimile 2020,bue,2,14/07/2020,Chez Hourlier,12
489,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 1,8
489,Achat 1j1v Nov 2016,bue,2,17/12/2016,Clayette 1,8
490,Achat 1j1v Avril 2018,bue,2,25/04/2018,0,"21,5"
490,Achat 1j1v Avril 2018,bue,2,25/04/2018,0,"21,5"
