Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
182,Cadeau papa Juillet 21,à boire,2,25/07/2021,Clayette 3,"12,00€"
189,Achat EVG Vincent,à boire,3,28/05/2016,CHez Hourlier,"9,10€"
189,Achat EVG Vincent,à boire,3,28/05/2016,CHez Hourlier,"9,10€"
191,fav Vente Privée 2016,à boire,2,15/10/2016,Clayette 6,"7,00€"
192,FAV Vente Privée 2017,à boire,2,01/01/2016,0,"30,00€"
195,Achat Papa Aout 2021,à boire,1,01/01/2021,0,"6,50€"
195,Achat Papa Aout 2021,à boire,1,01/01/2021,0,"6,50€"
195,Achat Papa Aout 2021,à boire,1,01/01/2021,0,"6,50€"
199,Achat lot18.fr Nov,à boire,2,05/11/2014,Clayette 6,"29,00€"
209,Achat Guillaume Aout,à boire,1,15/10/2016,Clayette 1,"22,00€"
216,SVI Dec 21,à boire,2,02/12/2021,Clayette 4,"13,50€"
